encoding,model,seed,n_features,noise_sigma,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,seconds
raw,LR,0,16,0.0,0.7433333333333334,0.00862811940369653,0.7424107294740455,0.010103205048603845,0.22118711471557617
raw,LR,1,16,0.0,0.7493333333333333,0.010624918300339474,0.7490647636101041,0.01113104478578756,0.2326948642730713
raw,LR,2,16,0.0,0.7466666666666667,0.005577733510227154,0.7460985902314232,0.005648979970191722,0.2304544448852539
angle,LR,0,16,0.0,0.545,0.010110500592068762,0.5399691871980122,0.0090506354701428,0.48589444160461426
angle,LR,1,16,0.0,0.5403333333333332,0.015216949614017802,0.5350942132290306,0.015545018377399524,0.5183918476104736
angle,LR,2,16,0.0,0.5396666666666666,0.017962924780409978,0.5344714766811107,0.018331522388263823,0.5260248184204102
amplitude,LR,0,4,0.0,0.5523333333333333,0.007348469228349548,0.5474602984789888,0.008201281029677708,0.18573927879333496
amplitude,LR,1,4,0.0,0.549,0.011718930554164658,0.544053551307508,0.012880396504179565,0.18059825897216797
amplitude,LR,2,4,0.0,0.5503333333333333,0.01473469073686689,0.5464634362509566,0.01562056108624588,0.17554903030395508
raw,KAN,0,16,0.0,0.7543333333333335,0.012183777921664713,0.7539809339019344,0.013329133915056553,5.3292999267578125
raw,KAN,1,16,0.0,0.7503333333333333,0.004876246279442589,0.7503497434024157,0.004146209723572241,5.057584047317505
raw,KAN,2,16,0.0,0.7533333333333333,0.00760116950066092,0.7526326192414698,0.006741534595865592,5.337950944900513
angle,KAN,0,16,0.0,0.5683333333333334,0.010110500592068718,0.5659838890854026,0.01175090697118675,4.899645090103149
angle,KAN,1,16,0.0,0.5700000000000001,0.017159383568311645,0.567664083255604,0.01852160265741348,5.4425342082977295
angle,KAN,2,16,0.0,0.5770000000000001,0.0160346846277409,0.574603918336993,0.016455947451861155,4.959660053253174
amplitude,KAN,0,4,0.0,0.5746666666666667,0.009030811456096062,0.5730351687216533,0.007972486977070864,2.294200897216797
amplitude,KAN,1,4,0.0,0.5716666666666667,0.022335820757001273,0.5707425554753016,0.024314919666675688,2.123934507369995
amplitude,KAN,2,4,0.0,0.5743333333333334,0.01108552609887725,0.5725952938635649,0.01016187248056584,2.2749507427215576
raw,SVM,0,16,0.0,0.7986666666666666,0.012578641509408805,0.7981510206077645,0.012099743233601188,0.8963198661804199
raw,SVM,1,16,0.0,0.7933333333333333,0.01316561177208768,0.7936144386975543,0.013759613997379638,0.8739612102508545
raw,SVM,2,16,0.0,0.7993333333333332,0.014007934259633788,0.7989406016406425,0.01322595126445671,0.8402488231658936
angle,SVM,0,16,0.0,0.559,0.00910433352249844,0.5554307355586288,0.010274211095074358,1.1259169578552246
angle,SVM,1,16,0.0,0.5596666666666665,0.018867962264113202,0.5571380133497537,0.019901497059526502,1.134671926498413
angle,SVM,2,16,0.0,0.5616666666666668,0.01689838914084877,0.5589353312174893,0.016129510148932096,1.0946509838104248
amplitude,SVM,0,4,0.0,0.5863333333333334,0.00476095228569525,0.5822884427273916,0.0048991651660210645,0.8102946281433105
amplitude,SVM,1,4,0.0,0.5836666666666666,0.020800641015763604,0.5799381383881338,0.022821886692456876,0.8067488670349121
amplitude,SVM,2,4,0.0,0.5856666666666667,0.012498888839501815,0.5822982200497762,0.01255379143907634,0.8256053924560547
raw,MLP,0,16,0.0,0.7583333333333333,0.010488088481701532,0.7576683181370505,0.010636465585229984,2.012326955795288
raw,MLP,1,16,0.0,0.7676666666666666,0.023489950569930484,0.7674528531736378,0.023234867663313865,2.1092684268951416
raw,MLP,2,16,0.0,0.7616666666666667,0.019350567031600013,0.7612557088213828,0.019652475096693107,2.4851133823394775
angle,MLP,0,16,0.0,0.5033333333333333,0.047609522856952344,0.4905571453421566,0.05675721352382296,1.9488098621368408
angle,MLP,1,16,0.0,0.509,0.041667999978667346,0.4992797279283769,0.04587931760848365,1.8434441089630127
angle,MLP,2,16,0.0,0.511,0.03265305839002257,0.4958847354203014,0.04652517302677501,1.8382065296173096
amplitude,MLP,0,4,0.0,0.5613333333333335,0.019102065042525866,0.5564092526046729,0.02086240667021918,2.0605249404907227
amplitude,MLP,1,4,0.0,0.5583333333333333,0.018618986725025256,0.5554677648921272,0.019645098729552418,1.6117477416992188
amplitude,MLP,2,4,0.0,0.557,0.01707499796648759,0.5531282070944428,0.01752052219242884,1.680790901184082
